Control ID,Control Name,Syncfusion Control Name,Skill Name,Keywords
1,DataGrid,SfDataGrid,syncfusion-wpf-datagrid,"datagrid, data grid, table, data table, sorting, filtering, paging, editing, grouping, aggregation, virtualization, export, hierarchy, sfdatagrid"
2,DataPager,SfDataPager,syncfusion-wpf-datapager,"datapager, data pager, pagination, page navigator, record pager"
3,ExcelLikeGrid,SfSpreadsheet,syncfusion-wpf-excel-like-grid,"excel like grid, spreadsheet grid, excel clone, data grid excel"
4,GridDataControl,SfDataGrid,syncfusion-wpf-datagrid,"griddatacontrol, data control, master detail, hierarchical"
5,GridTreeControl,SfTreeView,syncfusion-wpf-treegrid,"grid tree control, tree grid, hierarchical grid"
6,PivotGrid,SfPivotGrid,syncfusion-wpf-pivot-grid,"pivot, pivot table, pivot grid, data analysis, aggregation, grouping, summarization, drill-down, fieldlist"
7,PropertyGrid,SfPropertyGrid,syncfusion-wpf-propertygrid,"property grid, property editor, object inspector, visual editor, design properties"
8,TreeGrid,SfTreeView,syncfusion-wpf-treegrid,"treegrid, tree grid, hierarchical data, data table, sorting, filtering, paging, editing, aggregation, hierarchy"
9,Barcode,SfBarcode,syncfusion-wpf-barcode,"barcode, bar code, qr code, 1d, 2d, encoding, scanning"
10,BulletGraph,SfBulletGraph,syncfusion-wpf-bullet-graph,"bullet graph, bullet chart, comparative indicator, measure, qualitative range"
11,Charts,SfChart,syncfusion-wpf-charts,"chart, graph, visualization, data visualization, line, area, column, bar, pie, financial, analytics, dashboard, sfchart"
12,Chart3D,SfChart3D,syncfusion-wpf-3d-chart,"3d chart, 3d column, 3d bar, stacked column, stacked bar, rotation, tilt, depth, 3d rendering"
13,Diagram,SfDiagram,syncfusion-wpf-diagram,"diagram, flowchart, organizational chart, bpmn, uml, mindmap, shapes, connectors, nodes, layout, svg"
14,DigitalGauge,SfDigitalGauge,syncfusion-wpf-digital-gauge,"digital gauge, digital display, numeric indicator, 7-segment, lcd display"
15,Gantt,SfGantt,syncfusion-wpf-gantt,"gantt, gantt chart, project scheduling, timeline, task, dependency, milestone, baseline, critical path"
16,HeatMap,SfHeatMap,syncfusion-wpf-heatmap,"heatmap, heat map, 2d visualization, matrix, grid, color intensity, gradient, palette"
17,KanbanBoard,SfKanban,syncfusion-wpf-kanban-board,"kanban, kanban board, card board, workflow, task management, drag drop, columns, swimlanes"
18,LinearGauge,SfLinearGauge,syncfusion-wpf-linear-gauge,"linear gauge, gauge, horizontal, vertical, linear scale, temperature indicator, kpi"
19,Map,SfMap,syncfusion-wpf-map,"map, maps, geospatial, geojson, geospatial visualization, choropleth, markers, bubbles, layers"
20,OlapChart,SfOlapChart,syncfusion-wpf-olap-client,"olap, olap chart, multidimensional analysis, data cube, pivot analysis"
21,OlapClient,SfOlapClient,syncfusion-wpf-olap-client,"olap client, olap analyzer, multidimensional data exploration"
22,OlapGauge,SfOlapGauge,syncfusion-wpf-olap-gauge,"olap gauge, olap kpi, multidimensional gauge, business analytics"
23,OlapGrid,SfOlapGrid,syncfusion-wpf-olap-grid,"olap grid, olap table, multidimensional grid, pivot table"
24,RadialGauge,SfRadialGauge,syncfusion-wpf-radial-gauge,"radial gauge, gauge, kpi, key performance indicator, quantitative values, speedometer, sensor"
25,SmithChart,SfSmithChart,syncfusion-wpf-smith-chart,"smithchart, smith chart, impedance, admittance, reflection coefficient, rf engineering"
26,Sparkline,SfSparkline,syncfusion-wpf-sparkline,"sparkline, tiny chart, inline chart, trend, mini chart, dense visualization"
27,RangeSelector,SfRangeSelector,syncfusion-wpf-range-selector,"range selector, range selection, interactive range, draggable sliders, filter, scroll"
28,SunburstChart,SunburstChart,syncfusion-wpf-sunburst-chart,"sunburst, sunburst chart, hierarchical, radial, nested circles, drill-down, hierarchy"
29,SurfaceChart,SurfaceChart,syncfusion-wpf-surface-chart,"surface chart, 3d surface, heatmap chart, contour, mesh, grid, surface visualization"
30,TreeMap,SfTreeMap,syncfusion-wpf-treemap,"treemap, tree map, hierarchical, nested data, rectangles, area-based, proportional"
31,Excel,SfSpreadsheet,syncfusion-wpf-excel-like-grid,"excel, excel-like grid, spreadsheet grid, data entry, cell formatting"
32,PDF,PdfViewerControl,syncfusion-wpf-image-editor,"pdf, pdf viewer, pdf processing, document viewing"
33,Word,DocIO,syncfusion-wpf-markdown-viewer,"word, word document, docx, document processing"
34,PowerPoint,Presentation,syncfusion-wpf-markdown-viewer,"powerpoint, pptx, presentation, slide"
35,AvatarView,SfAvatarView,syncfusion-wpf-avatar-view,"avatar, avatar view, profile picture, user image, initial, placeholder"
36,CardView,SfCardView,syncfusion-wpf-card-view,"card, card view, card layout, content card, summary card, dashboard card"
37,Carousel,SfCarousel,syncfusion-wpf-carousel,"carousel, slider, image slider, slideshow, swiper, gallery, auto-play, touch, swipe"
